Temperature,L,R,A_M,Color,Spectral_Class
22012,6748.0,6.64,-2.55,10,1
34190,198200.0,6.39,-4.57,11,0
32460,173800.0,6.237,-4.36,11,0
9320,29.0,1.91,1.236,10,2
19400,10920.0,6.03,-3.08,10,1
17140,883.0,5.653,-2.64,10,1
8250,9.25,1.93,-0.98,5,3
23678,244290.0,35.0,-6.27,11,0
12749,332520.0,76.0,-7.02,11,0
9383,342940.0,98.0,-6.98,11,0
23440,537430.0,81.0,-5.975,11,0
16787,246730.0,62.0,-6.35,11,0
18734,224780.0,46.0,-7.45,11,0
9892,593900.0,80.0,-7.262,11,0
10930,783930.0,25.0,-6.224,11,0
23095,347820.0,86.0,-5.905,11,0
21738,748890.0,92.0,-7.346,11,0
24145,382993.0,1494.0,-8.84,10,1
38234,272830.0,1356.0,-9.29,11,0
32489,648430.0,1948.5,-10.84,11,0
27739,849420.0,1252.0,-7.59,10,1
21904,748490.0,1130.0,-7.67,10,1
38940,374830.0,1356.0,-9.93,11,0
30839,834042.0,1194.0,-10.63,11,0
8829,537493.0,1423.0,-10.73,9,2
9235,404940.0,1112.0,-11.23,9,2
37882,294903.0,1783.0,-7.8,11,0
